Step,x-coordinate,y-coordinate,Actions
1,0,0,F
2,0,1,F
3,0,2,F
4,0,3,F
5,0,4,F
6,0,5,F
7,0,6,F
8,0,7,LLF
9,0,6,LF
10,1,6,RF
11,1,5,LF
12,2,5,RF
13,2,4,LF
14,3,4,LF
15,3,5,F
16,3,6,LF
17,2,6,RF
18,2,7,LF
19,1,7,RF
20,1,8,LF
21,0,8,RF
22,0,9,RF
23,1,9,LLF
24,0,9,LF
25,0,8,LF
26,1,8,RF
27,1,7,LF
28,2,7,F
29,3,7,LLF
30,2,7,LF
31,2,6,LF
32,3,6,F
33,4,6,LF
34,4,7,LLF
35,4,6,LF
36,5,6,LF
37,5,7,LLF
38,5,6,RF
39,4,6,F
40,3,6,LF
41,3,5,LF
42,4,5,LLF
43,3,5,LF
44,3,4,RF
45,2,4,RF
46,2,5,LF
47,1,5,LF
48,1,4,F
49,1,3,LF
50,2,3,RF
51,2,2,LF
52,3,2,LF
53,3,3,LLF
54,3,2,LF
55,4,2,LF
56,4,3,F
57,4,4,RF
58,5,4,LF
59,5,5,RF
60,6,5,F
61,7,5,LLF
62,6,5,LF
63,6,4,LF
64,7,4,RF
65,7,3,LLF
66,7,4,LF
67,6,4,LF
68,6,3,LLF
69,6,4,F
70,6,5,LF
71,5,5,LF
72,5,4,RF
73,4,4,LF
74,4,3,F
75,4,2,F
76,4,1,LF
77,5,1,F
78,6,1,LF
79,6,2,LF
80,5,2,RF
81,5,3,LLF
82,5,2,LF
83,6,2,F
84,7,2,F
85,8,2,RF
86,8,1,LF
87,9,1,F
88,10,1,LF
89,10,2,LF
90,9,2,LLF
91,10,2,LF
92,10,3,LF
93,9,3,F
94,8,3,RF
95,8,4,F
96,8,5,F
97,8,6,F
98,8,7,LLF
99,8,6,LF
100,9,6,LF
101,9,7,F
102,9,8,LF
103,8,8,LLF
104,9,8,LF
105,9,9,LF
106,8,9,F
107,7,9,LF
108,7,8,F
109,7,7,LLF
110,7,8,F
111,7,9,LF
112,6,9,F
113,5,9,LF
114,5,8,LF
115,6,8,RF
116,6,7,F
117,6,6,LF
118,7,6,LLF
119,6,6,RF
120,6,7,F
121,6,8,LF
122,5,8,F
123,4,8,RF
124,4,9,LF
125,3,9,LF
126,3,8,LLF
127,3,9,LF
128,2,9,LF
129,2,8,LLF
130,2,9,RF
131,3,9,F
132,4,9,RF
133,4,8,LF
134,5,8,LF
135,5,9,RF
136,6,9,F
137,7,9,F
138,8,9,F
139,9,9,RF
140,9,8,LF
141,10,8,LF
142,10,9,LLF
143,10,8,F
144,10,7,F
145,10,6,LF
146,11,6,RF
147,11,5,LLF
148,11,6,LF
149,10,6,RF
150,10,7,F
151,10,8,LF
152,9,8,LF
153,9,7,F
154,9,6,F
155,9,5,F
156,9,4,LLF
157,9,5,F
158,9,6,LF
159,8,6,LF
160,8,5,F
161,8,4,F
162,8,3,LF
163,9,3,F
164,10,3,LF
165,10,4,F
166,10,5,LLF
167,10,4,F
168,10,3,F
169,10,2,F
170,10,1,LF
171,11,1,F
172,12,1,LF
173,12,2,RF
174,13,2,LF
175,13,3,LF
176,12,3,F
177,11,3,LF
178,11,2,LLF
179,11,3,RF
180,12,3,LF
181,12,4,LF
182,11,4,LLF
183,12,4,F
184,13,4,LF
185,13,5,F
186,13,6,LF
187,12,6,LF
188,12,5,LLF
189,12,6,RF
190,13,6,LF
191,13,7,RF
192,14,7,LF
193,14,8,LF
194,13,8,F
195,12,8,LF
196,12,7,LLF
197,12,8,LF
198,11,8,LF
199,11,7,LLF
200,11,8,F
201,11,9,LLF
202,11,8,LF
203,12,8,LF
204,12,9,LLF
205,12,8,LF
206,13,8,LF
207,13,9,LLF
208,13,8,LF
209,14,8,LF
210,14,9,LLF
211,14,8,F
212,14,7,RF
213,13,7,LF
214,13,6,F
215,13,5,LF
216,14,5,F
217,15,5,F
218,16,5,LF
219,16,6,LF
220,15,6,F
221,14,6,LLF
222,15,6,LF
223,15,7,F
224,15,8,F
225,15,9,RF
226,16,9,F
227,17,9,F
228,18,9,F
